titanic,0.3,0.2,0.6,0.6,0,0,0.6,0,0,0.05,0.05,0.425,0.4,0,0,0,0.033333333,0.6,0,0.6,0.6,0.5,0.3,0.3,0.6,0.6,0,0.183333333,0,-0.166666667,0.15,0.35,0.6,0.484090909,0.3,0,0.6,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avatar,0.1,0,0,0.136363636,0,0,0,0,0,0,0,0,0,-0.1625,0,-0.2,0.2,0.15,0,-1,0,0,0,0.136363636,0,0,-0.033333333,0.2,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joker,0,0,-0.088888889,0,-0.071428571,0.5,0,0,0.625,0.375,0.033333333,-0.4,0,0,0.1,-0.3,0,0,-0.1,-0.6,0,-0.166666667,-0.0125,0,-0.25,0.4,0,0,-0.015151515,0.2,0.136363636,0,0.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drishyam,0,0,0.25,0,0.125,-0.166666667,0.05,-0.2,0,0,-0.4,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,-0.366666667,0,0,0.068181818,-0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manichitrathazhu,0.1,-0.1,0.083333333,0,0,0.05,0,-0.5,0,0,0,0,-0.076923077,0,0.055555556,0,0.166666667,-0.25,0,0.9,0,0,-0.1,-0.25,0.053333333,0.01875,-0.133333333,0.2,0.2,-0.225,0,0.166666667,0,0.05,0.1,-0.2,-1,0.6,0.277777778,0.5,-0.351851852,-0.155555556,0,0.025,-0.155555556,0.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucifer,0,0,0,0.4,0,0,0,0,0,0,0,0.027272727,0,0,0,-0.127777778,0.25,0.2,0.1,-0.075,0.222222222,0,-0.05,-0.178125,0.166666667,0,-0.5,-0.25,0,0.3,0.25,0,0,0,-0.5,-0.0125,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,-0.3125,0,0,0,0,0.433333333,0,0,0,0,0.1,0,0.0625,0,0.1,-0.5,0,0,0,0,0,0.136363636,-0.1,0
acc_titanic,0.3, 0.5, 1.1, 1.7000000000000002, 1.7000000000000002, 1.7000000000000002, 2.3000000000000003, 2.3000000000000003, 2.3000000000000003, 2.35, 2.4, 2.8249999999999997, 3.2249999999999996, 3.2249999999999996, 3.2249999999999996, 3.2249999999999996, 3.258333333333333, 3.858333333333333, 3.858333333333333, 4.458333333333333, 5.058333333333333, 5.558333333333333, 5.8583333333333325, 6.158333333333332, 6.758333333333332, 7.358333333333332, 7.358333333333332, 7.541666666666665, 7.541666666666665, 7.374999999999998, 7.524999999999999, 7.874999999999998, 8.474999999999998, 8.959090909090907, 9.259090909090908, 9.259090909090908, 9.859090909090908, 9.859090909090908, 10.259090909090908
